f1_calm,precision_calm,recall_calm,f1_elevated,precision_elevated,recall_elevated,f1_stress,precision_stress,recall_stress,f1_macro_avg,precision_macro_avg,recall_macro_avg,f1_weighted_avg,precision_weighted_avg,recall_weighted_avg,accuracy,seed,fold,mode,model,f1_not_stress,precision_not_stress,recall_not_stress
,,,,,,0.6402,0.4789,0.9649,0.7884,0.7373,0.9246,0.9072,0.9443,0.8922,0.8922,999,2,binary,lr,0.9366,0.9956,0.8842
,,,,,,0.8714,0.7911,0.9697,0.9277,0.8939,0.9708,0.9728,0.9762,0.9716,0.9716,999,2,binary,rf,0.984,0.9966,0.9718
,,,,,,0.8953,0.8302,0.9714,0.9413,0.9135,0.9748,0.9782,0.9802,0.9774,0.9774,999,2,binary,xgb,0.9873,0.9968,0.9781
,,,,,,0.5408,0.4664,0.6434,0.7396,0.7127,0.7811,0.8989,0.91,0.8914,0.8914,999,2,binary,lstm,0.9384,0.9589,0.9188
,,,,,,0.1977,0.1114,0.8751,0.2838,0.5275,0.5526,0.3529,0.8608,0.2942,0.2942,999,2,binary,cnn_gaf,0.37,0.9435,0.2301
0.7994,0.6891,0.9518,0.5304,0.9278,0.3713,0.4921,0.3307,0.9614,0.6073,0.6492,0.7615,0.6152,0.7833,0.6282,0.6282,999,3,multiclass,lr,,,
0.9684,0.9673,0.9694,0.9651,0.9558,0.9746,0.8895,0.9428,0.8419,0.941,0.9553,0.9286,0.9579,0.9582,0.9583,0.9583,999,3,multiclass,rf,,,
0.9797,0.9888,0.9707,0.9713,0.9522,0.9913,0.8905,0.9716,0.8219,0.9472,0.9709,0.928,0.9652,0.9664,0.9659,0.9659,999,3,multiclass,xgb,,,
0.2239,0.2915,0.1817,0.6692,0.6123,0.7377,0.5069,0.4857,0.5301,0.4667,0.4632,0.4832,0.504,0.4922,0.5309,0.5309,999,3,multiclass,lstm,,,
0.1975,0.1872,0.2091,0.454,0.5487,0.3872,0.1569,0.115,0.2469,0.2695,0.2836,0.281,0.3365,0.3814,0.3128,0.3128,999,3,multiclass,cnn_gaf,,,
,,,,,,0.4603,0.3008,0.9796,0.6479,0.6487,0.8495,0.7944,0.9202,0.748,0.748,999,3,binary,lr,0.8356,0.9965,0.7194
,,,,,,0.8983,0.8874,0.9094,0.9428,0.9381,0.9476,0.9775,0.9777,0.9774,0.9774,999,3,binary,rf,0.9873,0.9888,0.9858
,,,,,,0.9009,0.9551,0.8525,0.9447,0.9686,0.9238,0.9789,0.9791,0.9794,0.9794,999,3,binary,xgb,0.9885,0.9821,0.9951
